date,account_value
2021-01-04,1000000.0
2021-01-05,999965.1944642408
2021-01-06,1000816.1756200521
2021-01-07,1000834.586799957
2021-01-08,1000690.519751518
2021-01-11,1000423.5210031547
2021-01-12,1001080.3049302864
2021-01-13,999742.9361283988
2021-01-14,998024.3162869565
2021-01-15,998915.561434425
2021-01-19,998930.2772906453
2021-01-20,1001003.9178662415
2021-01-21,995924.3908124085
2021-01-22,1011562.0771474764
2021-01-25,1015407.9511709139
2021-01-26,1019889.1205537112
2021-01-27,983798.6140223544
2021-01-28,996163.2444570776
2021-01-29,970261.7450674291
2021-02-01,981034.5915364234
2021-02-02,1024738.9013508765
2021-02-03,1030380.3347004859
2021-02-04,1048947.3500813453
2021-02-05,1048054.7219075172
2021-02-08,1071799.330061814
2021-02-09,1072906.3520344703
2021-02-10,1086546.0366047828
2021-02-11,1079547.5522297828
2021-02-12,1093829.9523762672
2021-02-16,1090953.4795308083
2021-02-17,1082698.302834031
2021-02-18,1091380.664513108
2021-02-19,1091600.0983357402
2021-02-22,1091922.9513020485
2021-02-23,1099537.8531880348
2021-02-24,1131660.9682393046
2021-02-25,1130580.6786325083
2021-02-26,1100712.2645700083
2021-03-01,1106686.0380075083
2021-03-02,1104602.0028512583
2021-03-03,1085152.7450387583
2021-03-04,1063272.2450387583
2021-03-05,1084318.9950387583
2021-03-08,1093349.0966012583
2021-03-09,1095433.1317575083
2021-03-10,1105505.0809762583
2021-03-11,1105435.7528512583
2021-03-12,1108630.9637887583
2021-03-15,1114326.6317575083
2021-03-16,1120925.7176950083
2021-03-17,1116757.9872262583
2021-03-18,1124935.5442377941
2021-03-19,1113898.7681757826
2021-03-22,1109819.4290339367
2021-03-23,1091303.4632594003
2021-03-24,1110291.6295496838
2021-03-25,1118974.323687257
2021-03-26,1143299.8573084725
2021-03-29,1145130.9950343028
2021-03-30,1132261.5662089936
2021-03-31,1120076.829331552
2021-04-01,1130337.8407298673
2021-04-05,1117084.2071696867
2021-04-06,1107143.7565700163
2021-04-07,1106419.4438688979
2021-04-08,1102091.9115050063
2021-04-09,1090461.509756349
2021-04-12,1093098.5222532973
2021-04-13,1078493.0040343031
2021-04-14,1081468.12050464
2021-04-15,1084646.2537443861
2021-04-16,1077664.8704439867
2021-04-19,1080804.8166262377
2021-04-20,1060605.749975847
2021-04-21,1075257.860914873
2021-04-22,1056628.4141756762
2021-04-23,1062908.129950212
2021-04-26,1062593.976401018
2021-04-27,1054397.4890770663
2021-04-28,1078111.3582449432
2021-04-29,1095325.054076242
2021-04-30,1083350.8065142152
2021-05-03,1099860.5899157044
2021-05-04,1122868.9580775087
2021-05-05,1144371.0862360783
2021-05-06,1140474.6494227238
2021-05-07,1138280.4306422372
2021-05-10,1159503.8049174445
2021-05-11,1153776.9744273322
2021-05-12,1141564.918267359
2021-05-13,1159924.808930506
2021-05-14,1162367.288529505
2021-05-17,1161203.3580305276
2021-05-18,1161612.5378095803
2021-05-19,1159091.00353834
2021-05-20,1162267.104696902
2021-05-21,1159199.4018427648
2021-05-24,1163141.799761634
2021-05-25,1151124.5310696175
2021-05-26,1148084.2709918278
2021-05-27,1157538.1661334292
2021-05-28,1154452.35014025
2021-06-01,1167174.3218046788
2021-06-02,1167244.6426970128
2021-06-03,1168017.711392081
2021-06-04,1169915.6838041905
2021-06-07,1154433.156144355
2021-06-08,1153639.8333904485
2021-06-09,1148823.695206855
2021-06-10,1151033.433610175
2021-06-11,1149220.3565838079
2021-06-14,1141004.495866034
2021-06-15,1136755.0577556829
2021-06-16,1134070.010396476
2021-06-17,1139518.2697501136
2021-06-18,1134038.9022655252
2021-06-21,1157653.9271068336
2021-06-22,1157219.671430564
2021-06-23,1160802.4338207007
2021-06-24,1190932.0809764622
2021-06-25,1174482.9307689427
2021-06-28,1157025.5325396184
2021-06-29,1184286.3178331975
2021-06-30,1173200.0381548528
2021-07-01,1199853.164299262
2021-07-02,1213065.8950884466
2021-07-06,1215875.5771715764
2021-07-07,1216255.3344805364
2021-07-08,1219824.1752703313
2021-07-09,1222633.8573534612
2021-07-12,1228860.524757636
2021-07-13,1227113.949592841
2021-07-14,1226734.429558051
2021-07-15,1227873.345573676
2021-07-16,1213901.4560778264
2021-07-19,1198865.866478217
2021-07-20,1213065.8950884466
2021-07-21,1223241.2792284612
2021-07-22,1242984.3883593206
2021-07-23,1263335.3939135198
2021-07-26,1253691.3852770452
2021-07-27,1255571.8327717509
2021-07-28,1244169.8624500954
2021-07-29,1250967.0876545634
2021-07-30,1250528.591637107
2021-08-02,1247239.6030392374
2021-08-03,1266864.5526021724
2021-08-04,1244810.72551477
2021-08-05,1246511.940572143
2021-08-06,1250985.7449493252
2021-08-09,1254227.5247344815
2021-08-10,1267075.675846771
2021-08-11,1282190.9335066832
2021-08-12,1287202.6715437926
2021-08-13,1272803.6544539488
2021-08-16,1264450.4550215758
2021-08-17,1264018.0756048278
2021-08-18,1250234.7150091247
2021-08-19,1264977.5483831482
2021-08-20,1265849.7579778747
2021-08-23,1259394.5343450622
2021-08-24,1252474.220201645
2021-08-25,1260505.982286606
2021-08-26,1264475.564122742
2021-08-27,1274637.6258903202
2021-08-30,1254235.617009705
2021-08-31,1250405.2131705936
2021-09-01,1248607.3491569217
2021-09-02,1254391.7701163944
2021-09-03,1240039.1107579349
2021-09-07,1233027.7681370853
2021-09-08,1235203.4522801517
2021-09-09,1222631.9032689214
2021-09-10,1195553.786905396
2021-09-13,1189026.1223546143
2021-09-14,1165816.3083287356
2021-09-15,1183037.7974341742
2021-09-16,1176433.9037404181
2021-09-17,1168895.8471226813
2021-09-20,1140156.8385243537
2021-09-21,1131205.3652272345
2021-09-22,1130616.258160012
2021-09-23,1128736.3938106466
2021-09-24,1125603.4839672018
2021-09-27,1119755.346111672
2021-09-28,1099495.7045329977
2021-09-29,1096440.0410692526
2021-09-30,1081508.2498705222
2021-10-01,1104236.38233207
2021-10-04,1103046.9072344138
2021-10-05,1121059.913002236
2021-10-06,1123452.7619554831
2021-10-07,1130564.8318102194
2021-10-08,1131429.032875283
2021-10-11,1107633.3896105124
2021-10-12,1099125.3026506735
2021-10-13,1107177.6385559929
2021-10-14,1126861.6480774772
2021-10-15,1136985.065191735
2021-10-18,1135610.1200013054
2021-10-19,1139297.0402893913
2021-10-20,1139984.565191735
2021-10-21,1138109.877691735
2021-10-22,1129861.1480774772
2021-10-25,1139859.3419251335
2021-10-26,1138359.801153649
2021-10-27,1113864.0588440788
2021-10-28,1124049.5122132194
2021-10-29,1116613.426153649
2021-11-01,1122237.593267907
2021-11-02,1137172.3247132194
2021-11-03,1138796.9841370475
2021-11-04,1128673.985479821
2021-11-05,1136110.176153649
2021-11-08,1134485.3075013054
2021-11-09,1133173.1308655632
2021-11-10,1139984.565191735
2021-11-11,1126174.332403649
2021-11-12,1147733.238653649
2021-11-15,1145545.8591370475
2021-11-16,1145920.9012513054
2021-11-17,1145733.5371155632
2021-11-18,1126267.1252503288
2021-11-19,1129164.940191735
2021-11-22,1131874.0310120475
2021-11-23,1142146.1479523096
2021-11-24,1136185.1499664697
2021-11-26,1127090.5963623438
2021-11-29,1138936.4929230127
2021-11-30,1132446.22119613
2021-12-01,1115452.5542802364
2021-12-02,1144152.096533975
2021-12-03,1150023.7842781155
2021-12-06,1170255.0441658108
2021-12-07,1188916.511939248
2021-12-08,1193183.5092103016
2021-12-09,1187769.1538076529
2021-12-10,1218512.3634252676
2021-12-13,1250553.9038457999
2021-12-14,1251419.9258375296
2021-12-15,1257049.2684278616
2021-12-16,1244432.8089284569
2021-12-17,1234075.4721212059
2021-12-20,1233570.380385366
2021-12-21,1262116.4042310386
2021-12-22,1273484.2412480982
2021-12-23,1279417.356089628
2021-12-27,1295125.9682569867
2021-12-28,1290637.9374494916
2021-12-29,1308595.8333068986
2021-12-30,1302084.3253151076
2021-12-31,1306341.9423652785
2022-01-03,1328882.1078392165
2022-01-04,1339400.963376631
2022-01-05,1352424.3980461254
2022-01-06,1313354.3033805983
2022-01-07,1348416.9458290238
2022-01-10,1345662.2018638747
2022-01-11,1360689.0486274855
2022-01-12,1350170.2977615492
2022-01-13,1345792.9156140885
2022-01-14,1356000.6554696644
2022-01-18,1329868.269788512
2022-01-19,1323081.7590571889
2022-01-20,1312519.150399352
2022-01-21,1309501.0442897328
2022-01-24,1308020.2769489735
2022-01-25,1291164.833380462
2022-01-26,1279916.7103641045
2022-01-27,1294124.9633791498
2022-01-28,1303228.4073183588
2022-01-31,1307021.620270019
2022-02-01,1296325.1434633783
2022-02-02,1310663.0464174799
2022-02-03,1310587.1530153803
2022-02-04,1302014.5986025385
2022-02-07,1303756.9095116572
2022-02-08,1328286.3372765498
2022-02-09,1333822.4999962763
2022-02-10,1328286.3372765498
2022-02-11,1310996.4646874384
2022-02-14,1298816.90670404
2022-02-15,1317810.3089867549
2022-02-16,1320194.9486351924
2022-02-17,1289788.597316833
2022-02-18,1295835.6954308467
2022-02-22,1270494.9287115629
2022-02-23,1261338.675583511
2022-02-24,1256067.0221983485
2022-02-25,1281870.9039198451
2022-02-28,1278818.6282049709
2022-03-01,1270727.3066942669
2022-03-02,1280159.573868034
2022-03-03,1282336.9480746305
2022-03-04,1288816.1237338101
2022-03-07,1269710.8485873258
2022-03-08,1241496.2500174406
2022-03-09,1246205.2378867033
2022-03-10,1248412.462587631
2022-03-11,1246131.5155051115
2022-03-14,1263348.2660391692
2022-03-15,1296089.6629202727
2022-03-16,1289110.905063202
2022-03-17,1293156.0577121277
2022-03-18,1292467.521091034
2022-03-21,1297373.4817843933
2022-03-22,1322316.218772095
2022-03-23,1295986.472678345
2022-03-24,1304423.2071448977
2022-03-25,1315826.250662964
2022-03-28,1306091.97072522
2022-03-29,1302822.803748444
2022-03-30,1316382.9410775455
2022-03-31,1299084.640906647
2022-04-01,1306121.1210091861
2022-04-04,1293514.1184457096
2022-04-05,1301869.7855599674
2022-04-06,1335733.4653695377
2022-04-07,1332288.3774789127
2022-04-08,1328385.4384122167
2022-04-11,1331133.863384751
2022-04-12,1324476.781014344
2022-04-13,1328224.5162285774
2022-04-14,1319995.4081656348
2022-04-18,1303561.9892966163
2022-04-19,1320422.0980644843
2022-04-20,1355540.5680504462
2022-04-21,1354482.7485924384
2022-04-22,1343154.912975373
2022-04-25,1353982.8998375556
2022-04-26,1341615.7333379677
2022-04-27,1349432.574058011
2022-04-28,1362399.7907442597
2022-04-29,1337446.6530785912
2022-05-02,1323959.942812478
2022-05-03,1313817.9823977444
2022-05-04,1354428.2702395413
2022-05-05,1326811.7373995755
2022-05-06,1340039.988376138
2022-05-09,1317258.2423816621
